Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
Adams,-89.7672,43.9738,991,1995-01,0.62,8.7,17.4,26.1,11.3,0.28,1.94
Adams,-89.7672,43.9738,991,1995-02,0.12,9.8,20.0,30.3,10.4,0.49,3.12
Adams,-89.7672,43.9738,991,1995-03,2.84,23.2,33.9,44.5,23.9,0.63,6.05
Adams,-89.7672,43.9738,991,1995-04,3.32,29.1,39.8,50.5,26.7,0.84,7.90
Adams,-89.7672,43.9738,991,1995-05,4.22,44.0,55.6,67.1,41.5,1.32,14.70
Adams,-89.7672,43.9738,991,1995-06,1.97,57.7,70.2,82.7,58.3,1.01,23.08
Adams,-89.7672,43.9738,991,1995-07,2.62,60.6,71.9,83.1,60.9,1.33,21.16
Adams,-89.7672,43.9738,991,1995-08,7.49,64.7,73.9,83.1,65.9,1.14,15.98
Adams,-89.7672,43.9738,991,1995-09,1.75,45.3,57.4,69.5,48.3,0.44,13.72
Adams,-89.7672,43.9738,991,1995-10,4.73,38.6,49.1,59.6,39.8,0.72,9.54
Adams,-89.7672,43.9738,991,1995-11,2.20,18.4,26.4,34.4,18.1,0.57,2.94
Adams,-89.7672,43.9738,991,1995-12,0.58,9.2,17.6,26.0,10.8,0.38,1.98
Adams,-89.7672,43.9738,991,1996-01,2.61,0.9,12.1,23.3,5.7,0.26,1.62
Adams,-89.7672,43.9738,991,1996-02,0.74,7.7,17.5,27.4,9.4,0.46,2.70
Adams,-89.7672,43.9738,991,1996-03,1.13,14.1,24.9,35.8,13.2,0.61,4.50
Adams,-89.7672,43.9738,991,1996-04,2.66,28.9,40.5,52.1,27.2,0.80,8.85
Adams,-89.7672,43.9738,991,1996-05,1.95,42.7,53.0,63.3,40.2,1.19,12.17
Adams,-89.7672,43.9738,991,1996-06,6.45,56.0,66.2,76.4,57.2,0.88,15.54
Adams,-89.7672,43.9738,991,1996-07,3.34,55.9,67.4,78.9,57.4,0.77,17.53
Adams,-89.7672,43.9738,991,1996-08,1.74,55.9,68.1,80.2,60.5,0.18,17.31
Adams,-89.7672,43.9738,991,1996-09,1.14,48.3,59.6,71.0,52.0,0.16,12.91
Adams,-89.7672,43.9738,991,1996-10,2.33,36.3,48.4,60.5,39.9,0.47,9.44
Adams,-89.7672,43.9738,991,1996-11,1.25,17.3,25.9,34.5,19.8,0.19,2.90
Adams,-89.7672,43.9738,991,1996-12,1.37,11.7,19.3,27.0,15.3,0.19,1.52
Adams,-89.7672,43.9738,991,1997-01,1.51,4.5,13.1,21.8,7.6,0.23,1.29
Adams,-89.7672,43.9738,991,1997-02,0.95,12.2,22.1,32.0,16.8,0.20,2.72
Adams,-89.7672,43.9738,991,1997-03,2.31,21.3,31.2,41.0,23.2,0.32,4.84
Adams,-89.7672,43.9738,991,1997-04,0.83,30.8,42.6,54.5,28.1,0.77,10.27
Adams,-89.7672,43.9738,991,1997-05,3.54,39.3,50.8,62.4,37.8,0.84,11.98
Adams,-89.7672,43.9738,991,1997-06,3.68,55.3,67.3,79.2,56.8,0.68,18.89
